CO_ID,Name,Year,Quarter,Sector,Current Ratio,Long Term Debt / Captial,Debt / Equity,Gross Margin,Operating Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover,Receivable Turnover,Days Sales In Receivables,ROE,ROTE,ROA ,ROI,Book Value Per Share,Operating Cash Flow Per Share,Free Case Flow Per Share,Stock Return
1301.TW,台塑,2016,3,Basic Materials,2.1260143374290936,0.16685040460643802,0.2002646409827775,0.10848072080054866,0.04052574017855058,0.2877829276547635,0.2703870731443881,0.09995284122394076,2.210302274035108,6.60825001552311,55.233987688510084,0.03985848266799502,0.0399291774332558,0.027025956191007075,0.0466475971770514,44.911663069913246,2.8126512785440463,2.917551245567523,0.0821759068140117
1301.TW,台塑,2016,4,Basic Materials,2.154712880586605,0.1483116246174376,0.17413836903764104,0.1718456205196997,0.10834184241300088,0.2651918317671942,0.23897912214684006,0.11071066313666644,2.437435225149853,6.344979630749958,57.525795391223035,0.03850826730914435,0.038568570907453914,0.026457537088695075,0.047217249781732175,49.18052695453764,1.3698856541567008,1.550121864842502,-0.058823529411764705
1301.TW,台塑,2017,1,Basic Materials,2.1366526493985454,0.14032012809010747,0.16322369834990755,0.16856326207743427,0.11479647793091287,0.2251246527010338,0.20691873436427605,0.10402362369814439,2.0058518433495833,5.7782680717174575,63.16771660119814,0.03117559096963125,0.031220569088406324,0.021524436559605748,0.03876841947266272,49.83422212227052,-0.19131206221905864,-0.047072447561798306,0.05113636363636364
1301.TW,台塑,2017,2,Basic Materials,2.0557300468757607,0.15948563207781416,0.18974765710677205,0.15907183121779048,0.10576320269068659,0.222721482050049,0.18545753361100079,0.11334145480532692,2.4430149456416963,5.9721996945101585,61.11650960625445,0.03184722618421393,0.03189445966386252,0.021020026664078643,0.03846713285366008,47.903729759150735,1.6028004156248399,1.8357310432746492,0.0
1301.TW,台塑,2017,3,Basic Materials,2.6308974597815893,0.14346121135654175,0.16748945086742442,0.16128508942307287,0.10474289376513699,0.33651667225283316,0.31650650963695526,0.11420768640649394,2.9804027855611475,6.61101379799693,55.210896717624664,0.0504298223989456,0.05049662889698666,0.03614747619823134,0.06441154670117785,52.72787811278776,5.142360650311115,5.477270453738864,0.12432432432432433
1301.TW,台塑,2017,4,Basic Materials,2.5845550180137975,0.13146079785083917,0.15135850808523713,0.1593631293032711,0.10008599358011333,0.27293966608637255,0.2422276247333252,0.11147058104160741,2.532174984106802,6.657192308213394,54.827918903540876,0.037258365888267767,0.03730500279600735,0.027001254073352195,0.04815422823992682,54.19796011801172,0.6851403688946933,1.0272479206190739,0.08173076923076923
1301.TW,台塑,2018,1,Basic Materials,2.702109972051215,0.1202710994354494,0.1367138209944763,0.17259865755338158,0.1232209768803978,0.253449789179345,0.21938154720753647,0.10565571716811076,2.276316088199354,5.715168617272423,63.865132324686705,0.031310009064981596,0.031344901210585564,0.023178914703662012,0.04145101419865561,59.621882499519934,0.48242052205455804,0.8117232797163215,-0.03111111111111111
1301.TW,台塑,2018,2,Basic Materials,1.9521154135990784,0.13950513340313425,0.1621219821506398,0.1843803171847377,0.13709196525652864,0.3277851301913406,0.2745764487187841,0.11487021365445244,2.5875595885353175,6.001761735102056,60.81547654003853,0.046509630615712776,0.046561151177864364,0.03154065532880753,0.05534597272240214,57.94089982425926,1.517874714597239,1.965142061706314,-0.06422018348623854
1301.TW,台塑,2018,3,Basic Materials,2.4058698478094884,0.14021060159932594,0.1630755180979631,0.1470481582387072,0.09409434346271296,0.34506725147844947,0.3168702918348442,0.11088299328135491,2.3577882622180732,6.315714451619792,57.792353152759844,0.049421860296155085,0.049473672296958704,0.03513552644058401,0.061590689752582105,57.78692560023808,4.7876556645221875,6.025165366456642,0.01990049751243781
1301.TW,台塑,2018,4,Basic Materials,2.218659813475651,0.1350312587356082,0.15611114285843736,0.14201216497306673,0.08346054608773244,0.054780300844788514,0.04137532838636093,0.11236481805774443,2.3293500809857424,5.980922904952987,61.02737082561828,0.0065573982851173385,0.006565349295186008,0.004649131246212875,0.00808253685084567,55.85650000075404,1.146283084601874,1.594216811341109,0.06796116504854369
1301.TW,台塑,2019,1,Basic Materials,2.954735462816605,0.1343483631706066,0.1551991094970743,0.15369373864350716,0.09935798589283668,0.17606849005627492,0.1535626553007027,0.10304967492521401,2.5222793386167015,6.074365496571114,60.0885804790701,0.021773211313643227,0.02179796638463017,0.015824581709390106,0.027224398759879632,58.733918760876975,1.3250195483925453,1.8873201686125831,-0.16363636363636364
1301.TW,台塑,2019,2,Basic Materials,2.081781841658188,0.1386956653742312,0.16102980073180936,0.1877288962873282,0.1346152527145118,0.05724478978770247,0.18307281859372174,0.10930959743871849,2.474615473973253,5.9121102590565275,61.73768485472187,0.030050755816494492,0.030091205420077385,0.02001161610245126,0.03623860127516583,54.137753456754005,0.5308494496037288,1.3239689244023256,0.046186929347298324
1301.TW,台塑,2019,3,Basic Materials,2.649127502343168,0.13183124203907334,0.15184978822401557,0.15592928699878028,0.09596098375522626,0.08315199986837102,0.31532839750148733,0.10083126132047256,2.360652866852961,6.329353661242731,57.66781563100938,0.044707565311456365,0.04476385504454198,0.03179496005023831,0.05490456075573534,55.08392754540053,4.2045939099499625,4.7590109229706625,-0.0031088399145887307
1301.TW,台塑,2019,4,Basic Materials,1.966960300270001,0.1286621114142299,0.14766041176409264,0.11522835693208923,0.05238447616430086,0.18139751694028833,0.06488916394956372,0.09767227534071088,2.3513087074856442,6.56793938607692,55.572985459297506,0.009023199321146366,0.009034156848388009,0.006337872287910318,0.011278363205093967,54.848811940316516,1.2568988042994147,2.063678590243574,-0.08975713066438253
1301.TW,台塑,2020,1,Basic Materials,1.669969292033382,0.142259303430751,0.1658535079421474,0.12619877398845003,0.05931560301747916,0.0030842105914489527,-0.009368674019816664,0.09131114416046025,1.8900253428167795,5.304265927404365,68.81253786961098,-0.0012648979817897605,-0.0012665596381131689,-0.0008554643440158382,-0.0014690384795654741,48.890136557240915,-0.3068282327800717,-0.19238546439088441,-0.06828705349167977
1301.TW,台塑,2020,2,Basic Materials,1.5197727723052517,0.16317140231750168,0.19498784191814947,0.12289208693949219,0.056299978070962146,-0.005505244706519634,-0.014671680241220347,0.09185633860015836,2.422801949156093,5.427441165296026,67.25084416094117,-0.0021724358994497585,-0.002176180047881489,-0.0013476868280707893,-0.002431371908275745,45.60282944602457,1.2475833134770427,1.5151780920768876,0.11518985410279865
